iter	Passed	Remaining
148	431	2464
149	432	2453
150	434	2442
151	436	2433
152	437	2422
153	438	2411
154	440	2400
155	443	2397
156	444	2388
157	446	2378
158	447	2368
159	449	2360
160	450	2348
161	452	2338
162	453	2328
163	454	2319
164	457	2315
165	459	2307
166	460	2297
167	462	2288
168	463	2279
169	465	2270
170	466	2261
171	467	2252
172	469	2243
173	473	2245
174	474	2238
175	476	2230
176	478	2225
177	481	2221
178	482	2214
179	484	2208
180	487	2205
181	489	2198
182	490	2190
183	492	2183
184	494	2176
185	495	2168
186	497	2161
187	498	2154
188	500	2149
189	502	2143
190	504	2137
191	506	2130
192	507	2124
193	509	2117
194	511	2110
195	512	2103
196	514	2096
197	520	2107
198	522	2104
199	524	2096
200	525	2089
201	527	2082
202	528	2075
203	529	2067
204	532	2066
205	534	2059
206	535	2052
207	537	2046
208	539	2040
209	540	2033
210	541	2026
211	543	2019
212	545	2014
213	547	2012
214	550	2008
215	552	2004
216	554	1999
217	555	1992
218	556	1986
219	558	1979
220	561	1978
221	563	1975
222	565	1968
223	566	1962
224	567	1955
225	569	1949
226	570	1943
227	572	1936
228	573	1930
229	576	1928
230	577	1923
231	579	1918
232	580	1912
233	582	1906
234	583	1900
235	585	1894
236	586	1888
237	588	1882
238	590	1881
239	592	1877
240	594	1872
241	595	1866
242	597	1861
243	599	1856
244	600	1850
245	601	1844
246	603	1839
247	605	1836
248	607	1831
249	608	1826
250	610	1821
251	613	1820
252	615	1816
253	616	1811
254	618	1805
255	620	1803
256	622	1799
257	624	1794
258	625	1789
259	627	1784
260	628	1779
261	629	1774
262	631	1768
263	632	1763
264	634	1760
265	636	1757
266	638	1752
267	639	1747
268	641	1743
269	643	1738
270	644	1734
271	646	1730
272	648	1726
273	651	1725
274	652	1721
275	654	1716
276	655	1711
277	657	1706
278	658	1702
279	660	1697
280	661	1692
281	662	1687
282	665	1686
283	667	1682
284	668	1677
285	670	1674
286	672	1669
287	673	1664
288	674	1660
289	676	1655
290	677	1651
291	680	1649
292	682	1645
293	683	1641
294	684	1636
295	686	1632
296	687	1628
297	689	1624
298	690	1619
299	692	1615
300	694	1613
301	696	1609
302	697	1605
303	699	1601
304	700	1596
305	702	1592
306	703	1587
307	704	1583
308	706	1579
309	707	1575
310	710	1573
311	711	1569
312	712	1564
313	714	1560
314	715	1556
315	717	1552
316	718	1548
317	720	1544
318	721	1540
319	724	1540
320	726	1536
321	727	1532
322	729	1528
323	730	1524
324	731	1520
325	734	1518
326	736	1515
327	737	1511
328	739	1508
329	742	1506
330	744	1503
331	746	1501
332	749	1502
333	751	1498
334	752	1494
335	754	1490
336	755	1487
337	757	1483
338	758	1479
339	760	1475
340	761	1471
341	764	1470
342	765	1466
343	766	1462
344	768	1458
345	769	1455
346	771	1451
347	773	1448
348	774	1445
349	776	1441
350	778	1439
351	780	1436
352	781	1432
353	782	1428
354	784	1424
355	785	1421
356	787	1417
357	788	1414
358	790	1410
359	792	1409
360	794	1406
361	796	1403
362	797	1399
363	799	1396
364	800	1392
365	801	1389
366	803	1385
367	804	1381
368	807	1380
369	809	1377
370	810	1374
371	811	1370
372	813	1367
373	814	1363
374	816	1360
375	817	1356
376	818	1353
377	820	1349
378	823	1348
379	824	1345
380	826	1342
381	827	1339
382	829	1335
383	830	1332
384	832	1329
385	833	1326
386	835	1323
387	837	1321
388	839	1318
389	840	1314
390	842	1311
391	844	1309
392	845	1306
393	847	1302
394	848	1299
395	850	1296
396	854	1297
397	855	1294
398	857	1292
399	859	1289
400	861	1287
401	863	1284
402	865	1282
403	867	1280
404	869	1277
405	871	1274
406	873	1272
407	875	1270
408	877	1267
409	881	1268
410	882	1265
411	884	1262
412	886	1259
413	887	1256
414	888	1253
415	890	1249
416	891	1246
417	893	1243
418	896	1243
419	898	1240
420	900	1237
421	901	1234
422	903	1231
423	904	1228
424	906	1225
425	907	1222
426	908	1219
427	911	1218
428	913	1216
429	915	1213
430	917	1210
431	919	1208
432	920	1205
433	922	1202
434	923	1199
435	926	1199
436	928	1196
437	929	1193
438	931	1190
439	932	1187
440	934	1184
441	935	1181
442	937	1178
443	938	1175
444	941	1174
445	943	1172
446	945	1169
447	947	1167
448	948	1164
449	950	1161
450	952	1159
451	954	1156
452	957	1156
453	959	1153
454	960	1150
